timetocompletesurvey,Pseudonym,Geschlecht,Alter,Familienstand,Kinder,AnzahlKinder,keins,ImChoraktiv,PrivaterMusikunterricht,Stdgehört7TageHerkömmli,Stdgehört7TagePhysische,Stdgehört7TageAufIhren,Stdgehört7TageKostenlos,Stdgehört7Tagekostenpfl,Stdgehört7TageOnlineRa,Stdgehört7TageLiveMusi,WennichMusikhöremacheichni,AktiveSuchenachneuerMusik,Musikistmirimmeretwaswert,CDAlbenAusgaben30Tage,CDSinglesAusgaben30Tage,MusikDVDsBluRaysAusgaben3,VinylAlbenAusgaben30Tage,KostenpflichtigedigitaleAlbum,KostenpflichtigedigitaleTrack,DigitaleMusikAboServicesPau,SonstigedigitaleMusikAboServ,Warumamhäufigstengekauft,datetimeofsurveystart,dateoflastaccess,panel,Bildung,Beschäftigung,Haushaltseinkommen,No_Mainstream_7Likert,KonzerteLiveMusikEventsAus,FestivalsLiveMusikEventsAu,ClubKonzerteLiveMusikEvents,DeluxeBoxenMusikproduktMer,Livestream_WTP
3752,3349275131920,weiblich,66,allein lebend,ja,3,quoted,Nein,Nein,10,0,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Mittlere Reife / Realschulabschluss,Sonstiges,2.001 Euro bis 2.500 Euro,1,0,0,0,0,10
1422,3242354883600,männlich,47,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,1,2,2,0,6,10,0,4,Ja,5,30,0,20,0,10,0,10,0,Soundqualität,,,5,Mittlere Reife / Realschulabschluss,Hausmann / Hausfrau,2.501 Euro bis 3.000 Euro,6,0,0,0,0,5
1603,3261850307600,männlich,65,allein lebend,nein,,not quoted,Nein,Nein,10,1,3,0,0,1,0,2,Nein,3,0,0,0,0,0,0,0,0,Soundqualität,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,3,0,0,0,0,0
696,3291630779760,weiblich,58,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,3,5,0,0,0,0,0,1,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,501 Euro bis 1.000 Euro,1,0,0,0,0,0
857,3743474883760,weiblich,50,allein lebend,nein,,quoted,Ja,Nein,2,1,1,0,0,0,0,1,Nein,7,0,0,0,0,0,0,0,0,Gewohnheit,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,3.001 Euro bis 3.500 Euro,5,0,0,0,0,20
495,3341122395760,weiblich,50,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,14,0,0,0,0,0,0,4,Nein,3,0,0,0,0,0,0,0,0,Gewohnheit,,,5,Hauptschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,3,0,0,0,0,0
741,3937442547680,männlich,33,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,2,0,4,0,16,0,0,1,Ja,6,0,0,0,0,0,0,15,0,Flexibilität,,,5,Fachhochschulreife,Angestellte/r,2.501 Euro bis 3.000 Euro,3,0,0,0,0,10
879,4018109219600,männlich,45,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,1,1,1,0,0,0,0,4,Nein,3,0,0,0,0,0,0,0,0,Gewohnheit,,,5,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,1.001 Euro bis 1.500 Euro,6,0,0,0,0,0
546,3676322019920,männlich,37,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,3,0,0,0,0,5,0,2,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Master / Diplom / Magister / Staatsexamen,Angestellte/r,weniger als 500 Euro,2,0,0,0,0,10
1715,3583378587920,männlich,45,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Ja,7,0,0,0,3,0,0,2,Ja,5,0,0,0,0,0,0,15,0,ich kaufe keine Musik,,,5,Master / Diplom / Magister / Staatsexamen,Angestellte/r,mehr als 5.000 Euro,6,0,0,0,0,5
582,3579647179280,weiblich,51,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Ja,10,0,1,0,1,0,0,1,Nein,7,0,0,0,0,0,0,15,0,Gewohnheit,,,5,Mittlere Reife / Realschulabschluss,Hausmann / Hausfrau,weniger als 500 Euro,5,0,0,0,0,5
514,3423393747600,männlich,57,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,0,0,0,0,0,0,0,4,Nein,1,0,0,0,0,0,0,0,0,Atmosphäre,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,501 Euro bis 1.000 Euro,3,0,0,0,0,10
922,3778189739200,männlich,43,allein lebend,nein,,quoted,Nein,Nein,0,0,0,0,0,4,0,2,Nein,6,0,0,0,0,0,0,0,0,Atmosphäre,,,5,Abitur,Angestellte/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,0
1270,3513075259360,männlich,40,allein lebend,nein,,quoted,Nein,Nein,1,0,4,0,0,0,0,2,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,,,5,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,501 Euro bis 1.000 Euro,5,0,0,0,0,5
399,3321677859600,weiblich,30,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Ja,5,0,0,0,0,0,0,3,Ja,2,0,0,0,0,0,0,0,0,Soundqualität,,,5,Hauptschulabschluss,Hausmann / Hausfrau,2.501 Euro bis 3.000 Euro,4,0,0,0,0,3
1078,3488075723200,weiblich,22,allein lebend,nein,,quoted,Nein,Nein,1,0,0,0,9,0,0,2,Ja,6,20,0,0,0,0,0,10,0,Sonstiges,,,5,Abitur,Studierende/r,1.001 Euro bis 1.500 Euro,3,0,0,0,0,30
839,3811522179360,männlich,33,allein lebend UND in einer festen Partnerschaft,ja,2,quoted,Ja,Nein,6,1,2,0,2,0,0,2,Nein,3,0,0,0,0,0,0,10,0,ich kaufe keine Musik,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,501 Euro bis 1.000 Euro,4,0,0,0,0,5
601,3746862035920,männlich,49,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,0,0,0,0,0,0,0,2,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Abitur,Selbständige/r,1.001 Euro bis 1.500 Euro,4,0,0,0,0,20
844,3293384083200,weiblich,26,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Ja,5,0,0,0,2,0,2,2,Nein,3,40,0,0,0,0,0,0,0,Gewohnheit,,,5,Master / Diplom / Magister / Staatsexamen,Angestellte/r,mehr als 5.000 Euro,1,0,0,0,0,0
912,3808734627840,männlich,49,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,4,2,12,0,4,0,0,1,Ja,3,0,0,0,0,10,0,10,0,Sonstiges,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,4,0,0,0,0,20
491,3694722603920,weiblich,22,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,1,0,3,0,2,0,0,5,Ja,6,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Fachhochschulreife,ohne Beschäftigung,3.501 Euro bis 4.000 Euro,4,0,0,0,0,0
736,3241030531200,weiblich,35,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Ja,5,0,3,0,0,2,0,1,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Abitur,Angestellte/r,2.501 Euro bis 3.000 Euro,2,0,0,50,0,0
1101,3909333827520,weiblich,55,in einer festen Partnerschaft zusammenlebend,ja,1,not quoted,Nein,Ja,1,6,5,0,2,2,1,3,Ja,6,0,0,0,0,0,15,6,0,Flexibilität,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,2.501 Euro bis 3.000 Euro,4,0,0,0,0,22
1142,3860154131840,weiblich,68,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,10,0,0,0,0,4,0,3,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,,,5,Abitur,Angestellte/r,501 Euro bis 1.000 Euro,2,0,0,0,0,0
1517,3859314611760,männlich,46,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,2,0,0,0,10,0,0,2,Nein,5,0,0,0,0,0,0,10,0,ich kaufe keine Musik,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,7,0,0,0,0,0
1386,3261354203680,männlich,40,in einer festen Partnerschaft zusammenlebend,ja,4,quoted,Nein,Nein,5,0,5,0,5,0,0,2,Ja,6,0,0,0,0,0,0,20,0,Soundqualität,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,4.001 Euro bis 4.500 Euro,3,0,0,0,0,20
906,3973800091360,männlich,32,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,0,0,1,0,0,20,0,1,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Mittlere Reife / Realschulabschluss,Sonstiges,1.001 Euro bis 1.500 Euro,7,0,0,0,0,0
834,3499102555760,weiblich,48,allein lebend,nein,,quoted,Nein,Nein,7,0,2,0,0,10,0,3,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,3,0,0,0,0,0
1091,3428464779840,männlich,53,allein lebend UND in einer festen Partnerschaft,nein,,quoted,Nein,Nein,5,1,1,0,0,10,0,3,Nein,5,0,0,0,0,0,0,0,0,Sonstiges,,,5,Hauptschulabschluss,ohne Beschäftigung,weniger als 500 Euro,3,0,0,0,0,0
722,3586774539200,männlich,37,allein lebend,ja,2,quoted,Nein,Nein,0,0,0,0,0,0,0,6,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Abitur,Angestellte/r,1.501 Euro bis 2.000 Euro,1,0,0,0,0,5
1318,3729363979840,männlich,43,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,4,0,0,0,30,30,0,1,Ja,1,0,0,0,0,0,0,8,0,ich kaufe keine Musik,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,0,0
720,3243746251520,weiblich,70,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,70,0,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Master / Diplom / Magister / Staatsexamen,Selbständige/r,501 Euro bis 1.000 Euro,5,0,0,0,0,0
1413,3451792523600,weiblich,43,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Ja,Ja,1,0,1,0,4,0,0,1,Ja,3,0,0,0,0,0,0,8,0,Mobilität,,,5,Abitur,Angestellte/r,3.501 Euro bis 4.000 Euro,4,0,0,0,0,0
813,3941738699840,männlich,66,allein lebend,ja,1,quoted,Nein,Nein,20,0,1,0,0,0,0,3,Ja,4,0,0,0,0,0,0,0,0,Sonstiges,,,5,Hauptschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,4,0,0,0,0,0
604,3972593779680,weiblich,59,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,5,0,0,0,0,0,0,2,Nein,3,0,0,0,0,0,0,0,0,Gewohnheit,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,4.001 Euro bis 4.500 Euro,7,0,0,0,0,0
920,3257963795280,weiblich,58,allein lebend,ja,2,quoted,Nein,Nein,0,0,20,0,0,0,0,4,Nein,3,0,0,0,0,0,6,0,0,Gewohnheit,,,5,Mittlere Reife / Realschulabschluss,Sonstiges,501 Euro bis 1.000 Euro,3,0,0,0,0,9
1084,3259919963280,männlich,46,allein lebend,nein,,quoted,Nein,Ja,5,10,0,0,0,0,0,4,Nein,4,0,0,0,0,0,0,0,0,Gewohnheit,,,5,Bachelor,Selbständige/r,3.001 Euro bis 3.500 Euro,4,0,0,0,0,0
440,3912043043440,männlich,57,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,60,0,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,2.501 Euro bis 3.000 Euro,1,0,0,0,0,0
1129,3266846995760,weiblich,61,allein lebend,nein,,quoted,Nein,Nein,0,0,0,0,0,0,0,2,Nein,1,0,0,0,0,0,0,0,0,Sonstiges,,,5,Master / Diplom / Magister / Staatsexamen,Selbständige/r,501 Euro bis 1.000 Euro,2,0,0,0,0,10
1014,3832850947280,männlich,47,allein lebend,nein,,quoted,Nein,Ja,3,0,1,0,2,0,0,1,Nein,2,0,0,0,0,0,0,9,0,Mobilität,,,5,Hauptschulabschluss,ohne Beschäftigung,weniger als 500 Euro,3,0,0,0,0,0
1473,3567330867600,weiblich,69,allein lebend,ja,1,quoted,Nein,Ja,28,6,0,0,0,0,0,4,Ja,7,0,0,0,0,0,0,0,0,Atmosphäre,,,5,Mittlere Reife / Realschulabschluss,Sonstiges,1.001 Euro bis 1.500 Euro,7,0,0,0,0,0
1330,3295948707520,männlich,39,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,4,5,3,0,4,2,0,5,Nein,7,25,0,30,28,10,0,0,0,Soundqualität,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,3,0,0,0,0,20
669,3406340123840,männlich,57,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,3,0,2,0,0,0,0,4,Nein,3,0,0,0,0,0,0,0,0,Soundqualität,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,0
3987,3585743531200,männlich,47,allein lebend,nein,,quoted,Nein,Nein,20,0,3,0,0,2,0,1,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Abitur,Angestellte/r,1.501 Euro bis 2.000 Euro,5,0,0,0,0,10
1293,3831088763920,männlich,67,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,0,4,10,0,0,0,0,1,Ja,7,25,0,0,0,0,0,0,0,Soundqualität,,,5,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.501 Euro bis 3.000 Euro,7,0,0,0,0,10
1168,3824220699280,weiblich,63,in einer festen Partnerschaft zusammenlebend,ja,1,not quoted,Nein,Ja,30,1,7,7,0,0,0,3,Nein,6,0,0,0,0,0,0,0,10,Gewohnheit,,,5,Mittlere Reife / Realschulabschluss,Sonstiges,1.501 Euro bis 2.000 Euro,4,0,0,0,0,10
863,3916038627680,männlich,32,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,0,3,3,2,5,3,0,4,Ja,4,20,0,0,0,15,10,15,10,Sonstiges,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,2.501 Euro bis 3.000 Euro,4,0,0,0,0,3
725,3890138987600,männlich,41,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Nein,10,0,0,0,0,0,0,1,Ja,6,0,0,0,0,0,0,0,0,Soundqualität,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,2.501 Euro bis 3.000 Euro,4,0,0,0,0,2
1208,3506835123840,männlich,39,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,2,1,1,0,0,0,0,4,Nein,4,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.501 Euro bis 3.000 Euro,6,0,0,0,0,1
410,3835685451680,weiblich,35,in einer festen Partnerschaft zusammenlebend,ja,3,not quoted,Ja,Ja,1,0,0,0,0,20,1,4,Ja,4,0,15,15,0,0,25,0,0,Atmosphäre,,,5,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.501 Euro bis 3.000 Euro,4,0,0,0,0,0
763,3245948851440,weiblich,25,allein lebend,nein,,quoted,Nein,Ja,0,0,0,0,20,0,0,2,Ja,5,0,0,0,0,0,0,10,0,ich kaufe keine Musik,,,5,Abitur,Studierende/r,501 Euro bis 1.000 Euro,4,0,0,0,0,10
1046,3972812707280,männlich,60,allein lebend,nein,,not quoted,Ja,Ja,5,0,1,0,0,0,5,3,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.001 Euro bis 2.500 Euro,3,0,0,0,0,0
993,3985818323760,weiblich,66,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,10,5,5,0,0,7,0,7,Ja,7,0,0,0,0,0,0,0,0,Sonstiges,,,5,Abitur,Sonstiges,2.501 Euro bis 3.000 Euro,7,0,0,0,0,0
824,3586665459200,männlich,54,allein lebend UND in einer festen Partnerschaft,ja,5,quoted,Nein,Nein,6,0,0,0,0,0,0,2,Nein,7,0,0,0,0,0,0,0,0,Sonstiges,,,5,Mittlere Reife / Realschulabschluss,Selbständige/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,5
1080,4023288467280,männlich,66,allein lebend,nein,,not quoted,Nein,Ja,20,2,0,0,0,0,0,4,Nein,2,0,0,0,0,0,0,0,0,Sonstiges,,,5,Master / Diplom / Magister / Staatsexamen,ohne Beschäftigung,1.001 Euro bis 1.500 Euro,4,0,0,0,0,0
805,3570808531920,männlich,45,allein lebend,nein,,quoted,Nein,Nein,10,5,2,0,0,0,0,1,Nein,4,80,25,0,0,0,0,0,0,Soundqualität,,,5,Hauptschulabschluss,ohne Beschäftigung,1.501 Euro bis 2.000 Euro,5,0,0,0,0,10
893,3887635795520,weiblich,60,allein lebend,ja,4,quoted,Nein,Nein,12,0,0,0,0,0,0,4,Nein,4,15,0,0,0,0,0,0,0,Sonstiges,,,5,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,501 Euro bis 1.000 Euro,7,0,0,0,0,0
1043,3821956683280,weiblich,46,allein lebend,nein,,not quoted,Nein,Nein,2,1,4,0,1,0,0,1,Ja,5,0,0,24,0,0,0,0,0,Sonstiges,,,5,Master / Diplom / Magister / Staatsexamen,Selbständige/r,3.501 Euro bis 4.000 Euro,3,0,0,0,0,0
1183,3571011331840,weiblich,26,allein lebend,nein,,quoted,Nein,Nein,24,1,8,4,0,0,0,1,Ja,5,0,0,0,0,0,0,0,0,Sonstiges,,,5,Abitur,Angestellte/r,501 Euro bis 1.000 Euro,6,0,0,0,0,20
2244,3407427643360,weiblich,63,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Nein,15,7,4,0,15,12,0,7,Ja,5,0,0,0,0,0,0,60,0,Atmosphäre,,,5,Mittlere Reife / Realschulabschluss,Hausmann / Hausfrau,2.001 Euro bis 2.500 Euro,3,0,0,0,0,45
711,3271997131200,weiblich,50,allein lebend,nein,,quoted,Nein,Nein,5,6,4,0,0,0,0,4,Ja,5,0,0,0,0,0,0,0,0,Soundqualität,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,501 Euro bis 1.000 Euro,7,0,0,0,0,0
1122,3327656283920,männlich,34,allein lebend,nein,,quoted,Nein,Nein,3,7,15,4,0,4,0,4,Ja,6,0,0,0,0,0,0,0,0,Soundqualität,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,6,0,0,0,0,5
644,3457122875360,weiblich,57,allein lebend,nein,,quoted,Nein,Nein,1,0,0,0,0,0,0,2,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,501 Euro bis 1.000 Euro,2,0,0,0,0,0
943,3612641851200,weiblich,45,allein lebend UND in einer festen Partnerschaft,nein,,not quoted,Nein,Ja,4,0,0,0,0,0,0,7,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,,,5,Abitur,Angestellte/r,2.001 Euro bis 2.500 Euro,1,0,0,0,0,0
1601,3487792939360,weiblich,41,allein lebend,nein,,quoted,Nein,Nein,10,0,4,0,0,0,0,1,Ja,3,0,15,0,0,0,0,0,0,Gewohnheit,,,5,Fachhochschulreife,Angestellte/r,1.001 Euro bis 1.500 Euro,2,0,0,0,0,0
725,3404042155680,männlich,58,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Ja,14,20,0,0,0,10,0,3,Nein,5,0,0,0,0,0,0,0,0,Sonstiges,,,5,Master / Diplom / Magister / Staatsexamen,Angestellte/r,mehr als 5.000 Euro,5,0,0,0,0,5
1166,3617714531760,männlich,69,in einer festen Partnerschaft zusammenlebend,ja,3,not quoted,Ja,Ja,10,3,0,0,0,0,0,4,Nein,5,19,0,0,0,0,0,0,0,Sonstiges,,,5,Bachelor,Sonstiges,2.001 Euro bis 2.500 Euro,5,0,0,0,0,0
1227,3827393715280,männlich,55,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,20,0,0,0,5,0,0,2,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,3.501 Euro bis 4.000 Euro,4,0,0,0,0,20
647,3729170803200,weiblich,54,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,1,1,0,0,0,0,0,4,Nein,3,0,0,0,0,0,0,0,0,Sonstiges,,,5,Abitur,Angestellte/r,501 Euro bis 1.000 Euro,5,0,0,0,0,10
4400,3824333051680,weiblich,60,allein lebend,ja,2,quoted,Nein,Nein,0,0,0,0,0,0,0,4,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,501 Euro bis 1.000 Euro,4,0,0,0,0,0
1775,3903208371440,weiblich,61,allein lebend,ja,3,quoted,Nein,Nein,2,0,0,0,0,0,0,7,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Hauptschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,7,0,0,0,0,0
1348,4018264347520,männlich,43,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,2,2,10,0,10,0,0,1,Nein,5,0,0,0,0,0,0,0,0,Gewohnheit,,,5,Hauptschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,5,0,0,0,0,0
1192,3854226579200,weiblich,60,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,28,10,0,0,0,0,0,1,Nein,5,0,0,0,0,0,0,0,0,Atmosphäre,,,5,Fachhochschulreife,Angestellte/r,501 Euro bis 1.000 Euro,3,0,0,0,0,10
2941,3455622411280,weiblich,48,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Ja,Ja,14,7,0,0,0,11,0,3,Ja,7,57,0,1,0,0,0,0,0,Gewohnheit,,,5,Master / Diplom / Magister / Staatsexamen,Angestellte/r,3.501 Euro bis 4.000 Euro,4,0,0,0,0,5
1630,3409693283440,weiblich,50,allein lebend,ja,1,not quoted,Ja,Nein,0,0,5,20,0,40,0,1,Nein,3,0,0,0,0,0,0,10,0,Sonstiges,,,5,Bachelor,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,30,0,0
681,3651358835680,weiblich,42,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Nein,2,0,0,5,0,0,0,2,Nein,5,0,0,0,0,0,0,0,0,Sonstiges,,,5,Master / Diplom / Magister / Staatsexamen,Selbständige/r,2.001 Euro bis 2.500 Euro,7,0,0,0,0,10
1342,3698425667920,männlich,26,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,8,0,1,0,1,8,0,5,Ja,4,0,0,0,0,0,0,10,0,Atmosphäre,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,7,0,0,0,0,0
788,3323648539280,männlich,19,allein lebend,nein,,not quoted,Ja,Nein,1,0,2,0,2,0,0,5,Nein,4,0,0,0,0,0,0,10,0,ich kaufe keine Musik,,,5,Hauptschulabschluss,Schüler/in,weniger als 500 Euro,3,0,0,0,0,20
2023,3645968659600,weiblich,59,allein lebend,nein,,quoted,Nein,Nein,7,2,0,0,0,2,0,2,Nein,6,0,0,0,0,0,0,0,0,Sonstiges,,,5,Abitur,Hausmann / Hausfrau,1.001 Euro bis 1.500 Euro,5,0,0,0,0,20
1371,3258618339920,weiblich,61,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Ja,0,0,0,0,0,0,0,7,Ja,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Mittlere Reife / Realschulabschluss,Sonstiges,weniger als 500 Euro,4,0,0,0,0,0
879,3482620923280,männlich,61,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,4,0,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Abitur,Angestellte/r,mehr als 5.000 Euro,1,0,0,0,0,0
1619,3563911395440,weiblich,63,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Ja,40,10,0,0,0,0,0,1,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,,,5,Abitur,Angestellte/r,1.501 Euro bis 2.000 Euro,6,0,0,0,0,0
371,3325843875280,weiblich,29,allein lebend UND in einer festen Partnerschaft,ja,1,quoted,Nein,Nein,1,0,0,0,0,0,0,1,Nein,2,0,0,0,0,0,0,0,0,Flexibilität,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,10
929,3243693723440,männlich,41,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,0,5,10,0,40,0,0,1,Nein,5,30,0,0,0,0,0,10,0,Sonstiges,,,5,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,1.001 Euro bis 1.500 Euro,7,0,0,0,0,0
876,4017679363600,weiblich,23,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Ja,2,0,0,8,0,0,0,2,Nein,5,0,0,0,0,5,0,0,0,Flexibilität,,,5,Bachelor,Studierende/r,1.001 Euro bis 1.500 Euro,5,0,0,0,20,5
990,3663383491680,weiblich,61,allein lebend UND in einer festen Partnerschaft,nein,,quoted,Nein,Nein,2,0,0,5,0,0,0,1,Nein,4,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,5,Hauptschulabschluss,Sonstiges,501 Euro bis 1.000 Euro,2,50,0,0,0,0
454,3906587443600,männlich,47,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,1,0,1,1,0,0,0,3,Ja,4,0,0,10,0,0,0,0,0,Soundqualität,,,5,Master / Diplom / Magister / Staatsexamen,Angestellte/r,4.001 Euro bis 4.500 Euro,5,1,0,0,0,1
1170,3418990179920,weiblich,60,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Ja,4,2,2,0,6,0,40,7,Ja,7,0,0,0,0,100,0,10,0,Flexibilität,,,5,Master / Diplom / Magister / Staatsexamen,Angestellte/r,mehr als 5.000 Euro,5,0,0,0,0,100
1190,3810790963600,weiblich,25,allein lebend,nein,,not quoted,Nein,Ja,3,0,0,1,0,0,0,2,Nein,5,0,0,0,0,0,0,0,0,Atmosphäre,,,5,Bachelor,Auszubildende/r,1.001 Euro bis 1.500 Euro,5,0,0,0,0,10
954,3984954579840,weiblich,56,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,1,0,0,1,0,0,0,2,Nein,3,0,0,0,0,0,0,0,0,Gewohnheit,,,5,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,2,0,0,0,0,0
